"indice","estado","condicion","alcance","mecanismo","perdida","tiempo","particion","plataforma"
0,"1000000000","1111111111","1111111111","1111111111",0.098468,7.5265,"⎛ F ⎞⎛  A,B,C,D,E,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
1,"1000000000","1111111111","1111111111","0111011101",0.002864,0.1331,"⎛ I ⎞⎛ A,B,C,D,E,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
2,"1000000000","1111111111","1111111111","0101010101",0.009393,0.1104,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
3,"1000000000","1111111111","1111111111","1010101010",0.000291,0.1001,"⎛ D ⎞⎛ A,B,C,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
4,"1000000000","1111111111","0111011101","1111111111",0.098468,0.1432,"⎛ F ⎞⎛     B,C,D,G,H,J     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
5,"1000000000","1111111111","0111011101","0111011101",0.009781,0.0966,"⎛ G ⎞⎛  B,C,D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
6,"1000000000","1111111111","0111011101","0101010101",0.009393,0.0759,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
7,"1000000000","1111111111","0111011101","1010101010",0.000291,0.0659,"⎛ D ⎞⎛ B,C,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
8,"1000000000","1111111111","0101010101","1111111111",0.098468,0.1105,"⎛ F ⎞⎛       B,D,H,J       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
9,"1000000000","1111111111","0101010101","0111011101",0.025099,0.0761,"⎛ B ⎞⎛    D,F,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
10,"1000000000","1111111111","0101010101","0101010101",0.032183,0.0566,"⎛ B ⎞⎛  D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
11,"1000000000","1111111111","0101010101","1010101010",0.000291,0.0491,"⎛ D ⎞⎛  B,F,H,J  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
12,"1000000000","1111111111","1010101010","1111111111",0.098864,0.1112,"⎛ A ⎞⎛       C,E,G,I       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
13,"1000000000","1111111111","1010101010","0111011101",0.002864,0.0737,"⎛ I ⎞⎛    A,C,E,G    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
14,"1000000000","1111111111","1010101010","0101010101",0.009393,0.0561,"⎛ C ⎞⎛  A,E,G,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
15,"1000000000","1111111111","1010101010","1010101010",0.002625,0.0487,"⎛ C ⎞⎛  A,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
16,"1000000000","0111111111","1111111111","1111111111",0.116661,0.167,"⎛ B ⎞⎛  C,D,E,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
17,"1000000000","0111111111","1111111111","0111011101",0.00407,0.1245,"⎛ E ⎞⎛ B,C,D,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
18,"1000000000","0111111111","1111111111","0101010101",0.017896,0.101,"⎛ H ⎞⎛ B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝    B,D,F,H,J    ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
19,"1000000000","0111111111","1111111111","1010101010",0.004358,0.077,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     C,E,G,I     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
20,"1000000000","0111111111","0111011101","1111111111",0.116661,0.1196,"⎛ B ⎞⎛    C,D,F,G,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
21,"1000000000","0111111111","0111011101","0111011101",0.00781,0.0943,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
