"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"1000000000","1111111111","1111111111","1111111111",0.478516,90.208892,93.406948,91.923425,1.483523,1009.285,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"1000000000","1111111111","1111111111","0111011101",0.016602,10.447997,10.450655,10.314791,0.135864,110.594,0.0,"⎛ H ⎞⎛ A,B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"1000000000","1111111111","1111111111","0101010101",0.000977,2.713051,2.714164,2.678255,0.035909,28.117,0.0,"⎛ F ⎞⎛ A,B,C,D,E,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"1000000000","1111111111","1111111111","1010101010",0.014648,2.707361,2.707965,2.679957,0.028008,28.027,0.0,"⎛ A ⎞⎛ B,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"1000000000","1111111111","0111011101","1111111111",0.464844,8.973727,8.974537,8.826692,0.147845,73.883,0.0,"⎛    B,D,F,G,H,J    ⎞⎛ C ⎞\n⎝ A,B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"1000000000","1111111111","0111011101","0111011101",0.016602,1.113683,1.114184,1.094214,0.01997,9.387,0.0,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"1000000000","1111111111","0111011101","0101010101",0.000977,0.31026,0.310673,0.302696,0.007977,2.602,0.0,"⎛ F ⎞⎛ B,C,D,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"1000000000","1111111111","0111011101","1010101010",0.020508,0.298991,0.299403,0.295412,0.003991,2.648,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"1000000000","1111111111","0101010101","1111111111",0.0,2.136489,2.136442,2.092455,0.043987,19.082,0.0,"⎛     B,D,F,H,J     ⎞⎛ ∅ ⎞\n⎝ A,B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"1000000000","1111111111","0101010101","0111011101",0.016602,0.296921,0.297129,0.297108,2.1e-05,2.547,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
