"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"1000000000","1111111111","1111111111","1111111111",0.478516,0.010325,0.010381,0.010311,7e-05,0.238,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"1000000000","1111111111","1111111111","0111011101",0.016602,0.014854,0.015157,0.015137,2e-05,0.0,0.0,"⎛ H ⎞⎛ A,B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"1000000000","1111111111","1111111111","0101010101",0.000977,0.007384,0.007589,0.007589,0.0,0.0,0.0,"⎛ F ⎞⎛ A,B,C,D,E,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"1000000000","1111111111","1111111111","1010101010",0.014648,0.006725,0.006916,0.006889,2.7e-05,0.0,0.0,"⎛ A ⎞⎛ B,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"1000000000","1111111111","0111011101","1111111111",0.464844,0.019989,0.020265,0.020265,0.0,0.004,0.0,"⎛ C ⎞⎛    B,D,F,G,H,J    ⎞\n⎝ J ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"1000000000","1111111111","0111011101","0111011101",0.016602,0.003251,0.003356,0.003356,0.0,0.0,0.0,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"1000000000","1111111111","0111011101","0101010101",0.000977,0.003129,0.003347,0.003347,0.0,0.0,0.0,"⎛ F ⎞⎛ B,C,D,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"1000000000","1111111111","0111011101","1010101010",0.020508,0.014268,0.014518,0.014477,4.1e-05,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"1000000000","1111111111","0101010101","1111111111",0.0,0.017319,0.017585,0.017538,4.7e-05,0.0,0.0,"⎛ ∅ ⎞⎛     B,D,F,H,J     ⎞\n⎝ J ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"1000000000","1111111111","0101010101","0111011101",0.016602,0.00287,0.003009,0.003009,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
